u.id,name,nric,age,marital_status,password,account_type
5,Rachel,S3456789E,25,Single,password,Applicant
10,singleyoungapplicant,syapplicant,21,Single,1234,Applicant
6,defaultmanager,manager,99,Married,1234,Manager
7,defaultofficer,officer,35,Single,1234,Officer
9,marriedapplicant,mapplicant,99,Married,1234,Applicant
11,singleoldapplicant,soapplicant,35,Single,1234,Applicant
2,Sarah,T7654321B,40,Married,password,Applicant
3,Grace,S9876543C,37,Married,password,Applicant
1,John,S1234567A,35,Single,password,Applicant
12,defaultmanager2,manager2,99,Married,1234,Manager
4,James,T2345678D,30,Married,password,Applicant
8,defaultofficer2,officer2,99,Married,1234,Officer
